en_sents,vi_sents
Tom didn't do well enough on the driver's test to get a driver's license,Tom đã không làm đủ tốt trong bài kiểm tra trình điều khiển để lấy bằng lái xe
Most opponents of slavery did not vote,hầu hết các đối thủ của chế độ nô lệ đã không bỏ phiếu
Tom lived in an interesting part of Boston.,tom sống trong một phần thú vị của boston.
The sky was full of stars.,bầu trời đầy sao.
We must put safety before anything else.,chúng ta phải đặt sự an toàn trước bất cứ điều gì khác.
I have to take this call.,tôi phải nhận cuộc gọi này
Tom accepted the job offer.,tom chấp nhận lời mời làm việc.
He could not send his son to school.,ông không thể gửi con trai mình đến trường.
This pen is a real bargain at such a low price,cây bút này là một món hời thực sự ở một mức giá thấp như vậy
Americans pay both federal taxes and state taxes,người Mỹ trả cả thuế liên bang và thuế nhà nước
My sister got engaged.,chị tôi đã đính hôn.
You seemed happy here,bạn có vẻ hạnh phúc ở đây
I have some friends to help,tôi có vài người bạn để giúp đỡ
My husband is a very good cook.,Chồng tôi là một đầu bếp rất giỏi.
He exchanged seats with the next person,anh ấy đã đổi chỗ với người bên cạnh
"As soon as I get to London, I'll drop you a line.","Ngay sau khi tôi đến Luân Đôn, tôi sẽ thả bạn xuống."
"In spite of the heavy snow, she came all the way to the station","bất chấp tuyết rơi dày đặc, cô đã đến nhà ga"
We had no other option,chúng tôi không có lựa chọn nào khác
Tom can't handle the truth,tom không thể xử lý sự thật
You want to go out for a drink?,bạn muốn đi uống nước không?
I'll be in the next room if you need me.,Tôi sẽ ở phòng bên nếu bạn cần tôi.
Lightning hit that tower.,sét đánh vào tháp đó.
Tom got very angry at Mary,tom đã rất tức giận với mary
Lincoln was a great statesman,lincoln là một chính khách tuyệt vời
Who gave you my number?,Ai đưa số điện thoại của tôi?
The driver increased his speed,người lái xe tăng tốc
I thought you said you studied all night.,Tôi nghĩ bạn nói rằng bạn học cả đêm.
Was there something else you wanted?,bạn còn muốn gì nữa không?
Tom looked up quickly.,tom nhìn lên nhanh chóng.
Tom walked over to where Mary was sitting.,Tom đi đến nơi mary đang ngồi.
I have heard the story,tôi đã nghe câu chuyện
Tom is rather weak,tom khá yếu
Tom keeps a diary.,tom giữ một cuốn nhật ký.
That's remarkable,thật đáng chú ý
Sulfur is used to make matches.,lưu huỳnh được sử dụng để làm cho phù hợp.
One more person will be joining us later,một người nữa sẽ tham gia với chúng tôi sau
I'm pretty sure Tom is the only one who can tell us what we need to know,Tôi khá chắc chắn tom là người duy nhất có thể cho chúng tôi biết những gì chúng tôi cần biết
The radio is too loud. Please turn the volume down,radio quá to làm ơn giảm âm lượng
You're the only person that can do this,bạn là người duy nhất có thể làm điều này
Please fill this bottle with water.,xin vui lòng đổ đầy chai này
I had a room with a beautiful view of the mountains.,tôi đã có một căn phòng với một cái nhìn tuyệt đẹp của những ngọn núi.
Did I give you the tickets?,tôi đã cho bạn vé?
You should be true to your friends,bạn nên đúng với bạn bè của bạn
This is harassment,đây là sự quấy rối
She has three times as many dictionaries as you do.,cô ấy có số từ điển nhiều gấp ba lần bạn.
I had the documents sent to Tom,tôi đã gửi tài liệu cho tom
The audience applauded the actress.,khán giả vỗ tay cho nữ diễn viên.
He suggested we should start at once,ông đề nghị chúng ta nên bắt đầu ngay lập tức
A tall tree hid his house from our view.,một cây cao che giấu ngôi nhà của mình từ tầm nhìn của chúng tôi.
We tried to keep it a secret.,chúng tôi đã cố gắng giữ bí mật.
They are now either in Kyoto or in Osaka,bây giờ họ đang ở kyoto hoặc osaka
Tom poured himself another shot of bourbon,Tom rót cho mình một phát súng khác của bourbon
Someone could be hurt.,ai đó có thể bị tổn thương.
Tom wants Mary to meet John,tom muốn mary gặp john
We're all dying.,tất cả chúng ta đều chết
I told you this was going to be boring,tôi nói với bạn điều này sẽ nhàm chán
"The more we learn, the better we realize our ignorance.","chúng ta càng học nhiều, chúng ta càng nhận ra sự thiếu hiểu biết của mình."
Could I please have one more can of beer?,tôi có thể xin thêm một lon bia không?
How many cups of coffee did you drink?,bạn đã uống bao nhiêu tách cà phê
I had a special ticket,tôi đã có một vé đặc biệt
You make me want to throw up!,bạn làm cho tôi muốn ném lên!
I was a first year student last year,tôi là sinh viên năm thứ nhất năm ngoái
I keep thinking about Tom,tôi cứ nghĩ về tom
The book is very interesting.,Cuốn sách rất thú vị.
I cleaned out the fridge,tôi dọn tủ lạnh
I just heard Tom.,tôi vừa nghe tom.
I can wait a little longer.,tôi có thể đợi thêm một chút nữa
I haven't had a chance yet,tôi chưa có cơ hội
This is a serious setback.,đây là một trở ngại nghiêm trọng
Tom picked up a paintbrush and started helping Mary paint the fence,tom nhặt một cây cọ vẽ và bắt đầu giúp mary vẽ hàng rào
What's that flower?,đó là hoa gì
I'm just glad it's all over,tôi chỉ vui vì tất cả
Why are we here?,tại sao chúng ta ở đây
I never even got to tell Tom about what we did for him,tôi thậm chí không bao giờ phải nói với tom về những gì chúng tôi đã làm cho anh ấy
Tom wasn't fired,tom không bị sa thải
"Last night, there was a fire in the supermarket.","đêm qua, có một đám cháy trong siêu thị."
This coffee is quite strong,cà phê này khá mạnh
I am reading a book now.,tôi đang đọc một cuốn sách bây giờ
You're not allowed in this room.,bạn không được phép ở trong phòng này
Tom got paint on his shirt while he was painting the fence.,Tom đã vẽ lên áo trong khi anh ta đang vẽ hàng rào.
Please tell me where you will live.,xin vui lòng cho tôi biết nơi bạn sẽ sống.
I like running,tôi thích chạy
Tom started shooting,tom bắt đầu chụp
This apple is sweet,quả táo này ngọt
Tom's doorbell rang,chuông cửa của tom vang lên
What do you say we get to work?,bạn nói chúng ta làm gì
Who will be the next pope?,Ai sẽ là giáo hoàng tiếp theo?
I have small hands,tôi có bàn tay nhỏ
To live without air is impossible.,sống mà không có không khí là không thể
Tom got into a fight with the people who were staring at him.,Tom đã đánh nhau với những người đang nhìn chằm chằm vào anh ta.
She knows she does not have any other choices.,cô ấy biết mình không có lựa chọn nào khác.
It's a quarter after six right now.,bây giờ là sáu giờ kém sáu giờ.
He told me where to buy origami.,anh bảo tôi mua origami ở đâu.
Tom eats at least three bowls of rice every day,tom ăn ít nhất ba bát cơm mỗi ngày
I don't want to miss my train.,tôi không muốn bỏ lỡ chuyến tàu của mình
Tom certainly isn't as bad as Mary claims he is.,Tom chắc chắn không tệ như mary tuyên bố.
Who's fasting?,ai nhịn ăn?
Tom certainly has a lot to be happy about,tom chắc chắn có rất nhiều để được hạnh phúc về
Would you like more coffee?,bạn có muốn uống thêm cà phê không
I just told Tom to leave Mary alone,tôi chỉ bảo tom rời khỏi mary một mình
I'm going to call it a day.,Tôi sẽ gọi nó là một ngày.
Summers are very hot in Kyoto.,mùa hè rất nóng ở kyoto.
He kissed her hand,anh hôn tay cô
Do you want another beer?,bạn có muốn uống bia nữa không
We're creative.,chúng tôi sáng tạo.
I had no trouble finding his office,tôi không gặp khó khăn khi tìm văn phòng của anh ấy
I cannot stand this noise.,tôi không thể chịu được tiếng ồn này
He's very upset by this.,Anh ấy rất buồn vì điều này.
You're really very good.,bạn thực sự rất tốt
Tom was there before anyone else,tom đã ở đó trước bất cứ ai khác
Tom understands the risks,tom hiểu những rủi ro
Little did I dream that I would never see her again,Tôi đã mơ một chút rằng tôi sẽ không bao giờ gặp lại cô ấy
I'll be waiting in the lobby.,Tôi sẽ đợi ở sảnh.
Tom could've won if he'd wanted to,Tom có thể thắng nếu anh ta muốn
I have a cat.,tôi có một con mèo.
Why don't you go and have a look?,tại sao bạn không đi và có một cái nhìn?
Science has brought about many changes in our lives,khoa học đã mang lại nhiều thay đổi trong cuộc sống của chúng ta
I like this color as well.,tôi cũng thích màu này
I saw the film in San Francisco last year.,tôi đã xem bộ phim ở san francisco năm ngoái.
He is as rich as any man in this town,anh ta giàu có như bất kỳ người đàn ông nào trong thị trấn này
They wanted to stay out of international conflicts,họ muốn tránh xa các cuộc xung đột quốc tế
"Tom isn't here now, but Mary is.","Tom không ở đây bây giờ, nhưng mary là."
He's my friend.,anh ấy là bạn của tôi.
My uncle lives in New York.,chú tôi sống ở new york.
Tom looks annoyed,tom có vẻ khó chịu
Take your seat,ngồi vào chỗ ngồi của bạn đi
Her sons have gone to Tokyo,Các con trai của bà đã đi đến Tokyo
I wonder whose these scissors are.,tôi tự hỏi những cái kéo này là của ai
Tom has been uncooperative.,tom đã không hợp tác.
That's really weird.,Thật kỳ quặc.
I did nothing out of the ordinary.,tôi không làm gì khác thường
She is absent because of sickness.,cô vắng mặt vì ốm.
The repairs will cost at least 20 pounds,việc sửa chữa sẽ tốn ít nhất 20 bảng
The meeting lasted two hours,cuộc họp kéo dài hai giờ
Take a nap.,đánh một giấc.
Go over the choices again,đi qua các lựa chọn một lần nữa
Tom is going bird watching next weekend,Tom sẽ đi xem chim vào cuối tuần tới
It's not as hot today as it was yesterday.,hôm nay trời không nóng như hôm qua.
They bought a basket of fruit,họ đã mua một giỏ trái cây
It goes without saying that friendship is more important than business.,Không cần phải nói rằng tình bạn quan trọng hơn kinh doanh.
I only did my duty,tôi chỉ làm nhiệm vụ của mình
This is inappropriate,cái này không phù hợp
I've never woken up this early.,Tôi chưa bao giờ thức dậy sớm thế này.
I'll jump in.,Tôi sẽ nhảy vào.
Ken has to run fast.,ken phải chạy thật nhanh.
It was lucky that you left when you did,thật may mắn khi bạn rời đi khi bạn đã làm
You disappoint me.,bạn làm tôi thất vọng
She's very susceptible to hypnotic suggestion.,cô ấy rất dễ bị gợi ý thôi miên.
I haven't been home since July,tôi đã không về nhà kể từ tháng bảy
Would you see to it that they get properly fed?,Bạn có thấy rằng họ được cho ăn đúng cách?
He didn't drink the milk,anh ấy đã không uống sữa
I think that's why Tom doesn't have any friends,tôi nghĩ đó là lý do tại sao tom không có bạn bè
"In February, I was in Sao Paulo.","vào tháng hai, tôi đã ở sao paulo."
What are you contemplating?,bạn đang suy nghĩ gì
Tom has lived in New York since he was a child.,Tom đã sống ở New York từ khi còn nhỏ.
"This is your chance, Tom","đây là cơ hội của bạn, tom"
I wish I could have stayed longer.,tôi ước tôi có thể ở lại lâu hơn
Don't pull my leg!,đừng kéo chân tôi!
Tom is my neighbor.,tom là hàng xóm của tôi
They crossed the Atlantic Ocean,họ băng qua đại dương
It's true any way you look at it.,đó là sự thật bất cứ cách nào bạn nhìn vào nó.
Tom found Mary's story interesting.,Tom thấy câu chuyện của mary thú vị.
I want to know who was in charge,tôi muốn biết ai chịu trách nhiệm
When did you have your last physical examination?,Lần khám cuối cùng của bạn là khi nào?
Tom has no comment at this time.,tom không có bình luận tại thời điểm này.
Do you remember your first kiss?,Cậu có nhớ nụ hôn đầu của cậu không?
A group of militia saw him and began shooting,một nhóm dân quân nhìn thấy anh ta và bắt đầu nổ súng
Tom appears to be strong and healthy.,tom có vẻ mạnh mẽ và khỏe mạnh
I don't want Tom giving Mary advice,tôi không muốn tom cho mary lời khuyên
Tom was completely confused.,tom đã hoàn toàn bối rối.
I asked Tom for some advice,tôi hỏi tom một vài lời khuyên
I gave Tom the run of my house,tôi đã cho tom chạy về nhà tôi
Would you teach me?,bạn sẽ dạy tôi chứ
"I'm very sorry, but I seem to have lost your umbrella.","Tôi rất xin lỗi, nhưng tôi dường như đã mất chiếc ô của bạn."
He would have no part of it.,anh ta sẽ không có phần của nó.
That shouldn't have happened.,Điều đó không nên xảy ra.
You all might want to sit down,tất cả các bạn có thể muốn ngồi xuống
The old man looks sad.,ông già có vẻ buồn.
Tom handed Mary the keys.,Tom đưa mary chìa khóa.
We don't want to lose you,chúng tôi không muốn mất bạn
Bill came to see me last autumn,hóa đơn đã đến gặp tôi vào mùa thu năm ngoái
Can I see your hands?,tôi có thể nhìn thấy bàn tay của bạn?
Everybody's suspicious,mọi người đều nghi ngờ
I guess they really weren't busy,tôi đoán họ thực sự không bận
I'll pack.,Tôi sẽ gói.
The insider trading scandal put a lot of people out of business.,vụ bê bối giao dịch nội gián đưa rất nhiều người ra khỏi doanh nghiệp.
This watch is a really good buy,đồng hồ này là một mua thực sự tốt
The baby cried itself to sleep,em bé đã khóc
A few passengers went on board the plane.,Một vài hành khách đã lên máy bay.
You saved us,bạn đã cứu chúng tôi
Do you want to talk about the matter?,Bạn có muốn nói về vấn đề này?
I told myself I could do it.,tôi tự nhủ mình có thể làm được.
Adams was an intelligent man,adams là một người đàn ông thông minh
I'll be there sometime after lunch,Thỉnh thoảng tôi sẽ đến đó sau bữa trưa.
Tom doesn't know Mary's telephone number.,tom không biết số điện thoại của mary.
They're at the bar drinking.,Họ đang ở quán rượu.
Your blood pressure is very high,huyết áp của bạn rất cao
Your site appeals to people who are interested in cats,trang web của bạn hấp dẫn những người quan tâm đến mèo
Everybody knows that where I come from.,mọi người đều biết tôi đến từ đâu
I could do this for a living,tôi có thể làm điều này để kiếm sống
It seemed like a good idea at the time.,Nó có vẻ như là một ý tưởng tốt vào thời điểm đó.
This dog saved that little girl's life,con chó này đã cứu mạng cô bé đó
It's good exercise to climb hills.,đó là bài tập tốt để leo đồi.
You're so dirty.,bạn thật bẩn
I like English best,tôi thích tiếng anh nhất
I love the way you make me feel,tôi yêu cách bạn làm tôi cảm thấy
Tom could find Mary's house easily,Tom có thể dễ dàng tìm thấy nhà của mary
We're both named Tom.,chúng tôi đều tên là tom.
Tom got a suntan,tom có một người anh em
I hope it's not too late.,tôi hy vọng nó không quá muộn.
I wonder if she'll accept a belated birthday present,tôi tự hỏi nếu cô ấy sẽ chấp nhận một món quà sinh nhật muộn
I just remembered,tôi chỉ nhớ
When will you be able to finish that job?,khi nào bạn có thể hoàn thành công việc đó?
Tom thinks it possible for Mary to get a job with that company,Tom nghĩ rằng mary có thể có một công việc với công ty đó
Don't get excited.,đừng phấn khích
When are you going to tell Tom about Mary?,khi nào bạn sẽ nói với tom về mary
Tom and I have a lot more in common than I thought,tom và tôi có nhiều điểm chung hơn tôi nghĩ
I will return your book on Tuesday if I have finished it.,tôi sẽ trả lại sách của bạn vào thứ ba nếu tôi đã hoàn thành nó.
We give a 10% discount for cash,chúng tôi giảm giá 10% cho tiền mặt
Everything you said was false,tất cả những gì bạn nói là sai
How many aunts and uncles do you have?,bạn có bao nhiêu cô dì chú bác
I came near to being run over by the truck,tôi đến gần để bị xe tải chạy qua
We call our dog Pochi,chúng tôi gọi chó pochi của chúng tôi
Please wash your hands after using the bathroom,vui lòng rửa tay sau khi sử dụng phòng tắm
It wasn't my idea.,đó không phải là ý tưởng của tôi
I'd like to make a collect call to Los Angeles.,Tôi muốn thực hiện một cuộc gọi thu thập đến los angeles.
"If you mail it by 7:00 p.m., it'll arrive tomorrow","nếu bạn gửi nó trước 7:00 tối, nó sẽ đến vào ngày mai"
Tom came back at 2:30,tom trở lại lúc 2:30
"Take a seat, Tom","ngồi đi, tom"
That's no big deal,đó không phải là vấn đề lớn
I don't think Tom hates you,tôi không nghĩ tom ghét bạn
You still have a lot of work to do.,bạn vẫn còn rất nhiều việc phải làm
Here he is!,anh ta đây rồi!
It's wrong to tell lies,nói dối là sai
We have a right to live wherever we want to.,chúng ta có quyền sống bất cứ nơi nào chúng ta muốn.
You don't look like Tom.,bạn không giống tom.
He seems to be very fond of the student.,anh ấy có vẻ rất thích học sinh
Something was wrong.,có cái gì đó không đúng.
He told me the story of his life.,Anh kể cho tôi nghe câu chuyện về cuộc đời anh.
Won't you come with us?,bạn sẽ không đến với chúng tôi chứ?
I've never met Tom's wife.,Tôi chưa bao giờ gặp vợ của tom.
I was jealous,tôi đã ghen tị
I don't want to go out with Tom.,tôi không muốn đi chơi với tom.
Motorcycles are great. They can easily get through even in heavy traffic.,xe máy rất tuyệt. họ có thể dễ dàng vượt qua ngay cả trong giao thông đông đúc.
Britain was in no hurry to agree on a peace treaty,người Anh không vội vàng đồng ý về một hiệp ước hòa bình
"I don't know my address yet, I'm going to stay with my friend for a while","tôi chưa biết địa chỉ của mình, tôi sẽ ở lại với bạn tôi một lúc"
"Tom didn't want to sing, but Mary made him sing.","Tom không muốn hát, nhưng mary đã bắt anh hát."
We came to the conclusion that he should be fired.,chúng tôi đi đến kết luận rằng anh ta nên bị sa thải.
Don't stop until I tell you,đừng dừng lại cho đến khi tôi nói với bạn
Winter in this area was extremely cold.,mùa đông ở vùng này cực kỳ lạnh.
I'm pretty sure Tom really loved Mary.,Tôi khá chắc chắn tom thực sự yêu mary.
Tell me what you thought I said.,nói cho tôi biết bạn nghĩ gì
This is my song,đây là bài hát của tôi
She advised him to come by 2:30.,Cô khuyên anh nên đến lúc 2:30.
Tom is disagreeable.,tom là không đồng ý
The poor child was born deaf and dumb,Đứa trẻ đáng thương bị câm điếc
She was admitted to Waseda University.,cô được nhận vào đại học waseda.
Is he interested in me?,Có phải anh ấy quan tâm đến tôi?
I must replace that fluorescent lamp,tôi phải thay cái đèn huỳnh quang đó
They gave him a glass of orange juice laced with vodka,họ đưa cho anh một ly nước cam pha với rượu vodka
It is rumored that secret peace talks have already begun,có tin đồn rằng các cuộc đàm phán hòa bình bí mật đã bắt đầu
You'd probably be disappointed.,có lẽ bạn sẽ thất vọng
I started this job an hour ago,tôi đã bắt đầu công việc này một giờ trước
We really enjoyed ourselves,Chúng tôi thực sự rất thích bản thân
"""Do you have any siblings?"" ""No, I'm an only child.""","""Bạn có anh chị em ruột không?"" ""không, tôi là con một."""
"It's valid until March thirty-first, nineteen-ninety-seven.","nó có hiệu lực cho đến tháng ba mươi mốt, mười chín chín mươi bảy."
Tom locked himself in his room and wouldn't let anyone in,Tom nhốt mình trong phòng và không cho ai vào
He is hoping to entice her into doing what he wants,anh đang hy vọng lôi kéo cô làm những gì anh muốn
My house is your house,nhà tôi là ngôi nhà của bạn
Why doesn't he hug me anymore?,Tại sao anh ấy không ôm tôi nữa?
The pressures of supporting a big family are beginning to catch up with him.,những áp lực của việc hỗ trợ một gia đình lớn đang bắt đầu theo kịp anh ta.
May I ask a question?,tôi có thể hỏi một câu được không?
"As a child, I liked baseball better than football","khi còn nhỏ, tôi thích bóng chày hơn bóng đá"
They both giggled.,cả hai cười khúc khích.
I killed them all,tôi đã giết tất cả
She writes to her parents once a week,cô ấy viết thư cho cha mẹ mỗi tuần một lần
He waited his turn,anh ấy đợi đến lượt mình
The wall wasn't high enough to keep dogs out,bức tường không đủ cao để tránh chó
Don't you just love that?,bạn không thích điều đó sao?
Meetings are held every other week.,các cuộc họp được tổ chức mỗi tuần.
Why don't you go get Tom?,tại sao bạn không đi lấy tom?
I want to do it again,tôi muốn làm lại lần nữa
Is there a restaurant close by?,Có nhà hàng nào gần không?
Tom doesn't spend much time in Boston,tom không dành nhiều thời gian ở boston
This tea is very nice,trà này rất đẹp
He missed the train by one minute,anh ấy đã lỡ chuyến tàu một phút
Tom always wears his seatbelt,Tom luôn luôn thắt dây an toàn
Tom remained calm.,Tom vẫn bình tĩnh.
She went out,cô ấy đã đi ra ngoài
It was less than fifty dollars.,nó chưa đến năm mươi đô la.
We split up.,chúng tôi chia tay.
What's this doing here?,cái này làm gì ở đây
I carefully took down everything that my teacher said,tôi cẩn thận gỡ xuống tất cả những gì giáo viên của tôi nói
They stopped quarreling when I came in.,họ ngừng cãi nhau khi tôi bước vào.
"If you wish, I'll ask","nếu bạn muốn, tôi sẽ hỏi"
Tom didn't know anything about what was happening,tom không biết gì về những gì đang xảy ra
I just uncorked a bottle of wine,tôi chỉ mở một chai rượu
This looks like a nice watering hole.,nó trông giống như một lỗ tưới nước đẹp
The cathedral's clock just struck three,Đồng hồ của nhà thờ vừa chạm ba
Do you want to kiss me?,bạn có muốn hôn tôi không
Many scientists live in this small village.,nhiều nhà khoa học sống trong ngôi làng nhỏ này.
Jenny thanked me for the gift,jenny cảm ơn tôi về món quà
"I don't know about you, but I agree with Tom","tôi không biết về bạn, nhưng tôi đồng ý với tom"
Can you tell me how to do this?,bạn có thể cho tôi biết làm thế nào để làm điều này?
I know you think highly of Tom,tôi biết bạn nghĩ rất nhiều về tom
I'm not sad.,Tôi không buôn.
Show me how it works,chỉ cho tôi cách nó hoạt động
We should talk.,chúng ta nên nói chuyện.
Professor Tanaka wants somebody to help him with his study.,giáo sư tanaka muốn ai đó giúp mình học.
What happened to your eye?,những gì đã xảy ra với mắt của bạn?
Tom would never give up.,tom sẽ không bao giờ bỏ cuộc
Just slow down.,cứ chậm lại
Artists are highly respected in France.,nghệ sĩ rất được tôn trọng ở Pháp.
I could fall in love with you.,tôi có thể yêu bạn
The police seized the robber by the neck,cảnh sát đã bắt giữ tên cướp bằng cổ
This is totally unacceptable.,Điều này là hoàn toàn không thể chấp nhận.
He was not interested in the debate.,anh không quan tâm đến cuộc tranh luận.
I thought it would be a good idea.,Tôi nghĩ rằng nó sẽ là một ý tưởng tốt.
I have trouble picturing that.,tôi gặp khó khăn khi hình dung điều đó.
We only use our basement for storage.,chúng tôi chỉ sử dụng tầng hầm của chúng tôi để lưu trữ.
You're too particular,bạn quá đặc biệt
I sure wouldn't mind a sip of some fine almond liqueur right now.,Tôi chắc chắn sẽ không nhớ một ngụm rượu mùi hạnh nhân tốt ngay bây giờ.
Her beauty will fade in time,vẻ đẹp của cô ấy sẽ mất dần theo thời gian
She rushed home with the good news,cô ấy vội vã về nhà với tin vui
I'm being fired because I've been late to work a lot.,Tôi bị sa thải vì tôi đã đi làm muộn rất nhiều.
Tom grew up speaking both English and French,Tom lớn lên nói cả tiếng Anh và tiếng Pháp
This recording has been tampered with.,bản ghi này đã bị giả mạo.
Tom cut his hand with a rusty knife.,tom cắt tay anh ta bằng một con dao rỉ sét.
I knew it was real,tôi biết đó là sự thật
He acts as if he were a king.,Anh ta hành động như thể anh ta là một vị vua.
That's easier said than done.,điều đó nói dễ hơn là làm.
The boy can handle a knife and fork very well.,Cậu bé có thể xử lý một con dao và nĩa rất tốt.
The horses make dust as they run.,Những con ngựa tạo ra bụi khi chúng chạy.
I have no choice but to follow those orders.,tôi không có lựa chọn nào khác ngoài việc tuân theo những mệnh lệnh đó.
There is a small pond here,có một cái ao nhỏ ở đây
I want you to keep up with me,tôi muốn bạn theo kịp tôi
I'm glad you're okay.,Tôi rất vui vì bạn ổn.
It started raining just as I was leaving home,trời bắt đầu mưa khi tôi rời khỏi nhà
Tom used to eat a lot of meat,tom thường ăn nhiều thịt
He sat reading a weekly magazine.,anh ngồi đọc tạp chí hàng tuần.
How dare you speak to me like that?,Sao bạn dám nói với tôi như thế?
Don't lean against this wall.,đừng dựa vào bức tường này
You may only borrow my camera if you are careful with it.,bạn chỉ có thể mượn máy ảnh của tôi nếu bạn cẩn thận với nó.
My prayer was answered,lời cầu nguyện của tôi đã được trả lời
I brought you some ice cream,tôi đã mang cho bạn một ít kem
The baby needs his mother.,em bé cần mẹ.
His French is improving little by little,Tiếng Pháp của anh ấy đang cải thiện từng chút một
"I'll be the one helping Tom, not you.",Tôi sẽ là người giúp Tom chứ không phải bạn.
"On hearing the news, everybody became quiet","Nghe tin, mọi người trở nên im lặng."
Tom couldn't go anywhere without his dog.,Tom không thể đi bất cứ nơi nào mà không có con chó của mình.
Why does Tom think that?,Tại sao tom nghĩ vậy?
Tom is obviously shaken.,Tom rõ ràng là bị lung lay.
This year's weather is rather unusual.,thời tiết năm nay khá bất thường.
I was in London last month.,tôi đã ở Luân Đôn tháng trước.
Tom took a swig from the flask.,tom lấy một thanh kiếm từ bình.
"I don't suppose you know anything about Tom, do you?","Tôi không cho rằng bạn biết bất cứ điều gì về tom, phải không?"
Tom will tell the truth,tom sẽ nói sự thật
The cost of building the railroad was very high,chi phí xây dựng đường sắt rất cao
The doctor warned me to stay away from booze,bác sĩ cảnh báo tôi tránh xa rượu
Wait until dark.,Đợi đến tối.
Tom won't have any part of it.,Tom sẽ không có bất kỳ phần nào của nó.
I can't keep track of our family budget,tôi không thể theo dõi ngân sách gia đình của chúng tôi
Wash your hands before eating,rửa tay trước khi ăn
She wrote a book about the visitors.,cô ấy đã viết một cuốn sách về du khách.
"Quiet down, please",làm ơn im lặng
Tom told me that he wanted to study French.,Tom nói với tôi rằng anh ấy muốn học tiếng Pháp.
I wish I had gone to Boston with Tom,tôi ước tôi đã đi đến boston với tom
I do like Tom.,tôi thích tom
I actually had fun tonight,tôi thực sự đã có niềm vui tối nay
He is not the boy who came here yesterday.,Anh ấy không phải là cậu bé đến đây ngày hôm qua.
Kate drinks a lot of milk every day.,kate uống rất nhiều sữa mỗi ngày.
He has married his daughter to a young lawyer,ông đã kết hôn với con gái của mình với một luật sư trẻ
Tom had no one to help him,Tom không có ai giúp anh ta
You're quite a philosopher,bạn là một triết gia
"If I should be late getting home, please don't wait up for me","nếu tôi nên về muộn, xin đừng đợi tôi"
We're being watched.,chúng tôi đang được theo dõi.
Did Tom see what happened?,Tom đã thấy những gì đã xảy ra?
She advised him not to go there by himself,cô khuyên anh đừng tự mình đến đó
Could you tell me what you saw?,bạn có thể cho tôi biết những gì bạn đã thấy?
I'm going to open the wine.,Tôi sẽ mở rượu.
I don't want to be alone.,tôi không muốn ở một mình
You told me Tom was sick in bed. Why is he here?,bạn nói với tôi tom bị ốm trên giường. tại sao anh ta ở đây
My father plays golf every Sunday.,Cha tôi chơi golf mỗi chủ nhật.
This is the surest way to succeed,đây là cách chắc chắn nhất để thành công
Do you miss me at all?,bạn có nhớ tôi không
He believes in Santa Clause,ông tin vào điều khoản santa
Who'll start?,ai sẽ bắt đầu
"Show me your driving license, please",cho tôi xem bằng lái xe của bạn
He drowned in the river.,Anh chết đuối dưới sông.
Did Tom forget to pay?,Tom đã quên trả tiền?
He had no money to buy the farm,anh ta không có tiền để mua trang trại
I hope we didn't keep you waiting too long.,tôi hy vọng chúng tôi đã không khiến bạn chờ đợi quá lâu.
He was injured in the accident.,anh bị thương trong vụ tai nạn.
We are searching for a place to stay.,chúng tôi đang tìm kiếm một nơi để ở.
You must be so proud.,Hẳn là bạn tự hào lắm.
You should not depend on your parents.,bạn không nên phụ thuộc vào cha mẹ của bạn.
Who were you speaking with?,bạn đang nói chuyện với ai
What does Tom want to say to Mary?,Tom muốn nói gì với mary?
I still have a lot of questions I want to ask you about your relationship with Tom,tôi vẫn còn rất nhiều câu hỏi tôi muốn hỏi bạn về mối quan hệ của bạn với tom
I needed to talk to you,tôi cần nói chuyện với bạn
Mother always gets up early in the morning,mẹ luôn dậy sớm vào buổi sáng
You could come with me if you like,bạn có thể đi với tôi nếu bạn thích
I probably shouldn't have done that,tôi có lẽ không nên làm điều đó
I don't like this game,tôi không thích trò chơi này
I've no friend to talk to about my problems.,Tôi không có bạn để nói về vấn đề của mình.
I suggest you not say anything else.,Tôi đề nghị bạn không nói bất cứ điều gì khác.
She denied having taken part in the scheme.,cô phủ nhận đã tham gia chương trình này.
What was that loud crash in the kitchen?,sự cố lớn trong nhà bếp là gì?
She never told me.,cô ấy không bao giờ nói với tôi
Everyone is exhausted.,Mọi người đều kiệt sức.
I'm sure you'll figure out how to do it,tôi chắc chắn bạn sẽ tìm ra cách để làm điều đó
He thanked me for the gift.,Anh cảm ơn tôi về món quà.
Tom wants a sandwich.,tom muốn một chiếc bánh sandwich.
They nodded to each other.,họ gật đầu với nhau.
Please buy this for me.,vui lòng mua cái này cho tôi
Thank you for coming in.,cảm ơn bạn đã đến
Everything's ruined.,mọi thứ đều bị hủy hoại
I saw her spike his drink,tôi thấy cô ấy uống nước
I don't have the time to do everything I want to do.,tôi không có thời gian để làm mọi thứ tôi muốn làm.
We need to conserve ammo.,chúng ta cần bảo tồn đạn.
I wish I could figure out how to get Flash to work on my iPad.,tôi ước tôi có thể tìm ra cách để flash hoạt động trên ipad của tôi.
The question is who will make the decision,Câu hỏi là ai sẽ đưa ra quyết định
"He works as a teacher, but actually he is a spy.","anh ta làm giáo viên, nhưng thực ra anh ta là một gián điệp."
