en_sents,vi_sents
Can't we speed it up?,chúng ta không thể tăng tốc nó lên?
I'm just tired.,Tôi chỉ thấy mệt mỏi.
My impression is that you'd later wish you hadn't done that.,Ấn tượng của tôi là sau này bạn sẽ ước mình đã không làm điều đó.
There's another possibility,có một khả năng khác
Tom could get arrested,tom có thể bị bắt
My desire is for Tom to be content.,Điều tôi mong muốn là Tom được mãn nguyện.
The ink stain will not wash out,vết mực sẽ không rửa
The unusual aspects of your personality could be seen as endearing or tiresome.,Những khía cạnh bất thường trong tính cách của bạn có thể được xem là đáng yêu hoặc mệt mỏi.
Jim was capable of curbing his temper and preventing a physical dispute.,Jim đã có khả năng kiềm chế tính khí của mình và ngăn chặn một cuộc tranh chấp thể chất.
Tom doesn't want Mary to find out the truth.,Tom không muốn mary tìm ra sự thật.
It didn't occur to Tom that Mary was so fatigued.,Tom đã không nghĩ rằng Mary lại mệt mỏi đến thế.
Place your precious items inside the strongbox.,Đặt những vật phẩm quý giá của bạn vào bên trong két sắt.
I gather you don't like him.,tôi tập hợp bạn không thích anh ấy.
He's appeared before me multiple times.,Anh ấy đã xuất hiện trước mặt tôi nhiều lần.
I don't have any other bags apart from this one.,Tôi không có túi nào khác ngoài cái này.
Jim managed to restrain his rage and prevent an altercation.,Jim đã cố gắng kiềm chế cơn thịnh nộ của mình và ngăn chặn một cuộc cãi vã.
Is it necessary for me to come up with something?,Có cần thiết để tôi nghĩ ra điều gì đó không?
Would you permit me to borrow these books?,Bạn có cho phép tôi mượn những cuốn sách này không?
French is a difficult language,tiếng Pháp là một ngôn ngữ khó
I abstain from tobacco and liquor.,Tôi kiêng thuốc lá và rượu.
It will only exacerbate the existing problems.,Nó sẽ chỉ làm trầm trọng thêm các vấn đề hiện có.
They all chuckled.,tất cả họ đều cười thầm.
He saved the princess.,anh cứu công chúa.
We're all different.,chúng ta đều khác nhau
It's across the street,đó là trên đường phố
These are my friends,Đây là những người bạn của tôi
I'm a management consultant.,Tôi là một nhà tư vấn quản lý.
We're not stupid,chúng tôi không ngu ngốc
The journey of acquiring knowledge is not simple.,Hành trình tiếp thu kiến thức không hề đơn giản.
Will you look over my report?,bạn sẽ xem qua báo cáo của tôi?
I never said any such thing,tôi chưa bao giờ nói bất cứ điều gì như vậy
Whose glasses are these?,Mấy cái mắt kính này của ai thế?
Can you elaborate on that?,Bạn có thể nói rõ hơn về điều đó không?
Tom never asked them what they wanted.,tom không bao giờ hỏi họ những gì họ muốn.
I feel like kissing you at this very moment.,Tôi cảm thấy muốn hôn bạn ngay tại khoảnh khắc này.
Tom didn't have the nerve to show up,Tom không có thần kinh để xuất hiện
I addressed the envelope containing the invitation.,tôi gửi địa chỉ phong bì chứa lời mời.
They haven't received a letter from him in quite some time.,Họ đã không nhận được thư từ anh ấy trong một thời gian khá dài.
Are you aware of its whereabouts?,Bạn có biết tung tích của nó không?
You won't believe your eyes.,bạn sẽ không tin vào mắt mình
Tom was the first one to enter the classroom.,tom là người đầu tiên bước vào lớp học
That's something we've already done.,Đó là điều chúng tôi đã làm rồi.
Tom had a lot of secrets.,tom có rất nhiều bí mật
They competed with each other for the prize.,họ cạnh tranh với nhau để giành giải thưởng.
Which area did you spend your childhood in?,Bạn đã trải qua thời thơ ấu của mình ở khu vực nào?
We have no choice but to give up the whole plan.,chúng tôi không có lựa chọn nào khác ngoài từ bỏ toàn bộ kế hoạch.
I really enjoyed the tasty apples he sent.,Tôi rất thích những quả táo ngon mà anh ấy đã gửi.
When you start looking like your passport photo you should go on vacation.,"Khi bạn bắt đầu trông giống như ảnh hộ chiếu của bạn, bạn nên đi nghỉ."
It seems that Tom is upset about something,có vẻ như tom đang buồn
It seemed appropriate,nó có vẻ thích hợp
You need to lose some weight,bạn cần giảm cân
I usually take a shower first thing in the morning.,Tôi thường tắm đầu tiên vào buổi sáng.
Tom is on medical leave.,tom đang nghỉ phép
Tom has just been told that he's been fired,Tom vừa được thông báo rằng anh ta đã bị sa thải
The phone rang while I was taking a bath.,Điện thoại reo khi tôi đang tắm.
It cost me 100 yen to send the letter.,Tôi mất 100 yên để gửi thư.
He lives there alone,anh ấy sống ở đó một mình
It was a pleasure to bump into you.,Thật vui khi tình cờ gặp bạn.
You're confident about letting her be responsible for your life?,Bạn tự tin để cô ấy chịu trách nhiệm cho cuộc đời mình sao?
Tom stayed in Boston for three days,tom ở lại boston trong ba ngày
Aren't you in charge?,bạn không chịu trách nhiệm?
You won't find an effortless way to learn.,Bạn sẽ không tìm thấy một cách học dễ dàng.
Tom failed to notice how tired Mary truly was.,Tom đã không nhận thấy Mary thực sự mệt mỏi đến mức nào.
Whose book is that?,cuốn sách đó là của ai
Come near the fire,đến gần đám cháy
Tom's least favorite color is blue-green,Màu sắc yêu thích nhất của tom là xanh dương
My opinion is that we shouldn't wait.,Ý kiến của tôi là chúng ta không nên chờ đợi.
Every individual has to define their own destiny.,Mỗi cá nhân phải tự định đoạt số phận của mình.
He did not want war,anh ấy không muốn chiến tranh
The cost of building the railroad was very high,chi phí xây dựng đường sắt rất cao
I'm asking you to briefly examine these records.,Tôi yêu cầu bạn xem xét sơ qua các hồ sơ này.
The story was amusing,câu chuyện thật thú vị
This city is very dear to me.,Thành phố này rất thân thương đối với tôi.
How much should I pay today?,hôm nay tôi phải trả bao nhiêu
It would have been nice if Tom had listened to what I said more carefully,Sẽ thật tuyệt nếu tom lắng nghe những gì tôi nói cẩn thận hơn
I waited more than two hours,tôi đã đợi hơn hai giờ
Tom said that he liked rain,Tom nói rằng anh ấy thích mưa
I'm clear on our whereabouts.,Tôi rõ về tung tích của chúng ta.
Tom is disagreeable.,tom là không đồng ý
I kept still and said nothing,tôi giữ im lặng và không nói gì
My job is a serious matter to me.,Công việc của tôi là một vấn đề nghiêm túc đối với tôi.
My mom bought this shirt for me.,mẹ tôi đã mua chiếc áo này cho tôi
Tom kept talking.,Tom tiếp tục nói.
We will have to improvise using what is at hand.,Chúng ta sẽ phải ứng biến bằng cách sử dụng những gì đang có.
I decided to become a member of a tennis club.,Tôi đã quyết định trở thành thành viên của một câu lạc bộ quần vợt.
What we currently own is a direct result of our dedication and effort.,Những gì chúng tôi hiện đang sở hữu là kết quả trực tiếp từ sự cống hiến và nỗ lực của chúng tôi.
I remember this music,tôi nhớ nhạc này
We have a place for you to live.,chúng tôi có một nơi để bạn sống
You might be right.,bạn có thể đúng
This pencil is not gray,bút chì này không có màu xám
Give it to Tom.,đưa nó cho tom.
Tom's Japanese is very articulate.,Tiếng Nhật của Tom rất rõ ràng.
The carpenter brought his tools along.,người thợ mộc mang dụng cụ của mình theo.
A good pitcher from him would guarantee our win in this game.,Một người ném bóng giỏi từ anh ấy sẽ đảm bảo chiến thắng của chúng ta trong trận này.
She is in harm's way right now.,Cô ấy đang gặp nguy hiểm ngay bây giờ.
I only want the money you owe me.,tôi chỉ muốn số tiền bạn nợ tôi
My supervisor believes I'm not up to the task.,Sếp của tôi nghĩ rằng tôi không đủ khả năng cho công việc đó.
He did not try to go to bed at once.,anh không cố gắng đi ngủ ngay lập tức.
My expectation was that they wouldn't show up.,Tôi đã nghĩ rằng họ sẽ không xuất hiện.
She was not the first to encourage me to do so.,cô ấy không phải là người đầu tiên khuyến khích tôi làm như vậy.
Tom just wanted to have fun.,tom chỉ muốn vui vẻ
He promised that he would treat John as his own son,ông hứa rằng ông sẽ coi john là con trai của mình
"If the weather is good, I'll go to the park.","nếu thời tiết tốt, tôi sẽ đến công viên."
They look confused.,Trông họ bối rối.
Have you ever seen a spider spinning its web?,Bạn đã bao giờ nhìn thấy một con nhện quay web của nó?
Tom and Mary became close friends,tom và mary trở thành bạn thân
I am in a new house.,tôi đang ở trong một ngôi nhà mới
We've discussed this.,chúng tôi đã thảo luận về điều này.
My daughter's driving me crazy.,Con gái tôi làm tôi phát điên.
Your CV has really impressed me,cv của bạn đã thực sự gây ấn tượng với tôi
It lacks any excitement.,Nó thiếu bất kỳ sự phấn khích nào.
He can't remember where he put his jacket.,Anh ấy không thể nhớ mình đã để áo khoác ở đâu.
Tom's arrival was significantly belated.,Sự xuất hiện của Tom đã bị trì hoãn đáng kể.
What's his workplace location?,Nơi làm việc của anh ấy ở đâu?
Most vehicles come with clear window panes.,Hầu hết các phương tiện đều đi kèm với các tấm kính cửa sổ trong.
He works as hard as any student,anh ấy làm việc chăm chỉ như bất kỳ sinh viên nào
I have to change planes in Boston.,tôi phải thay đổi máy bay trong boston.
He was not prosecuted by the authorities.,Anh ta không bị chính quyền truy tố.
Tom looks annoyed,tom có vẻ khó chịu
Don't you think we deserve Tom's respect?,bạn không nghĩ rằng chúng tôi xứng đáng với sự tôn trọng của tom sao?
I think I'm coming down with the flu.,Tôi nghĩ rằng tôi đang bị cúm.
This is a terrible thing to say to a man.,Đây là một điều khủng khiếp để nói với một người đàn ông.
Fred's foot made contact with a ball.,Chân của Fred đã tiếp xúc với một quả bóng.
Get there early if you want a decent seat.,Đến đó sớm nếu bạn muốn có một chỗ ngồi tử tế.
She hasn't come yet. She may have taken a wrong bus.,cô ấy chưa đến cô ấy có thể đã đi xe buýt sai.
How long have Tom and Mary been engaged?,Tom và mary đã đính hôn bao lâu rồi?
There's my ride.,Có chuyến đi của tôi.
He bought me a nice camera,anh ấy đã mua cho tôi một chiếc máy ảnh đẹp
Raise your hand if you understand it,giơ tay nếu bạn hiểu
The man is mourning after receiving sad news.,Người đàn ông đang than khóc sau khi nhận được tin buồn.
Please speak as slowly as possible,làm ơn nói càng chậm càng tốt
They are professors.,họ là giáo sư
There was no need for verbal communication.,không cần giao tiếp bằng lời nói.
Tom was not able to sit for the exam because he was sick.,Tom đã không thể ngồi dự thi vì bị ốm.
Would you like to talk?,bạn có muốn nói chuyện không?
Who else would you like to meet?,bạn muốn gặp ai nữa
Three thousand dollars is a sum Tom is ready to loan us.,Ba ngàn đô la là số tiền Tom sẵn sàng cho chúng tôi vay.
Tom's family is eccentric.,gia đình của tom là lập dị.
You'd better stay here,bạn nên ở đây
Tom has severe injuries.,Tom bị những vết thương nghiêm trọng.
It's Tom who deserves my gratitude.,Tom là người xứng đáng với lòng biết ơn của tôi.
We just met,chúng ta vừa mới gặp nhau
"He's a crybaby, just like always.","Anh ấy là một đứa bé khóc nhè, như mọi khi."
You seemed happy here,bạn có vẻ hạnh phúc ở đây
Will you make a return?,Bạn sẽ quay về chứ?
I believed your cello was located in the automobile.,Tôi tin rằng cây cello của bạn đã được đặt trong ô tô.
I am currently receiving medical attention.,Hiện tại tôi đang được chăm sóc y tế.
I thought you wanted this,tôi nghĩ bạn muốn điều này
Tom put the soda container in the bin.,Tom đã đặt vỏ lon soda vào thùng.
We might not need to sell our house,chúng tôi có thể không cần bán nhà của chúng tôi
All my problems are over.,tất cả các vấn đề của tôi đã qua.
We have so much to discuss.,chúng ta có quá nhiều thứ để thảo luận
I found out something interesting today at work.,tôi đã tìm ra một cái gì đó thú vị ngày hôm nay tại nơi làm việc.
I have a lot more homework than Tom does,tôi có nhiều bài tập về nhà hơn tom
We'll never forget you.,chúng tôi sẽ không bao giờ quên bạn.
You should probably do what Tom asks.,bạn có lẽ nên làm những gì tom yêu cầu.
Trade friction might arise between the two nations at any moment.,ma sát thương mại có thể phát sinh giữa hai quốc gia bất cứ lúc nào.
There is a small pond here,có một cái ao nhỏ ở đây
Tom is only in town for a few days.,tom chỉ ở trong thị trấn trong một vài ngày.
Mother bought my brother a yellow umbrella.,Mẹ mua cho em tôi một chiếc ô màu vàng.
That happened seventeen years before the Wright brothers flew for the first time,Điều đó đã xảy ra mười bảy năm trước khi anh em ngay lập tức bay lần đầu tiên
He set up a company recently.,anh ấy đã thành lập một công ty gần đây.
Perhaps I should come up with something?,Có lẽ tôi nên nghĩ ra một điều gì đó?
I've visited Boston a few times,tôi đã đến thăm boston một vài lần
The Governing Board decided to sell off the entity's foreign assets.,Hội đồng quản trị đã quyết định bán bớt tài sản nước ngoài của tổ chức.
I've taken on the identity of Tom Jackson.,Tôi đã lấy danh tính Tom Jackson.
I like him very much,tôi thích anh ấy rất nhiều
Mac is familiar with operating this computer.,Mac quen thuộc với việc vận hành máy tính này.
Tom wishes to acquire a telescope.,Tom ước mình có thể có một chiếc kính thiên văn.
I still expect Tom to help me solve the problems he created,tôi vẫn mong tom giúp tôi giải quyết những vấn đề anh ấy tạo ra
Tom came in much later than he should have.,Tom đã đến muộn hơn nhiều so với đáng lẽ ra.
I could stay with you,tôi có thể ở lại với bạn
I'll let Tom know what you've done,tôi sẽ cho tom biết những gì bạn đã làm
Please come over if you have time,vui lòng ghé qua nếu bạn có thời gian
I should have seen this coming.,Lẽ ra tôi phải thấy điều này đến.
If only I could regain my youth.,Giá như tôi có thể trẻ lại.
Can I bum a cigarette off you?,tôi có thể bum điếu thuốc không?
Japanese comes naturally to Tom.,Tom nói tiếng Nhật rất tự nhiên.
Tom didn't want Mary to go out with John,Tom không muốn mary đi chơi với john
I can detect that Tom is present.,Tôi có thể nhận ra rằng Tom đang có mặt.
There's not enough room in this town for two of us.,Không có đủ chỗ trong thị trấn này cho hai chúng ta.
I hope you get the job,tôi hy vọng bạn có được công việc
The allotted time has expired for you.,Thời gian quy định đã hết đối với bạn.
We shouldn't take the risk.,chúng ta không nên mạo hiểm.
Tom felt a little unwell and disoriented.,Tom cảm thấy hơi khó chịu và mất phương hướng.
They bound the prisoner's arms and legs.,họ trói tay và chân của tù nhân.
They are lazy. I can't understand such people.,họ lười biếng tôi không thể hiểu những người như vậy.
The opposing forces launched numerous explosives onto the plant.,Lực lượng đối địch đã thả nhiều chất nổ xuống nhà máy.
Tom doesn't sleep as much as he used to.,Tom không ngủ nhiều như trước đây.
I'm sure Tom knew that.,Tôi chắc chắn tom biết điều đó.
My understanding was that I asked you to keep the door shut.,Tôi hiểu rằng tôi đã yêu cầu bạn giữ cửa đóng.
His parents took him for a walk,bố mẹ anh đưa anh đi dạo
I'll never forget that.,Tôi sẽ không bao giờ quên điều đó.
The conduct of your children is remarkably excellent.,Cách cư xử của con cái bạn xuất sắc đáng kể.
What is for dessert?,Món tráng miệng là gì?
He married a girl of his own choice,anh cưới một cô gái của chính mình
They are collecting contributions for the church,họ đang thu thập đóng góp cho nhà thờ
He never went out.,anh không bao giờ đi ra ngoài.
The dining establishment is located just over the road from the hotel.,Cơ sở ăn uống nằm ngay bên kia đường so với khách sạn.
What was the reason for her not showing up?,Lý do cô ấy không xuất hiện là gì?
She kept me waiting for half an hour.,cô ấy giữ tôi đợi trong nửa giờ.
Action was imperative.,Hành động là bắt buộc.
The mayor granted our request.,thị trưởng cấp yêu cầu của chúng tôi.
It looks as though this summer will be cold again,Dường như mùa hè này sẽ lại lạnh
Tom brought his,tom mang của mình
I like running,tôi thích chạy
You're absolutely right!,bạn hoàn toàn đúng!
Everything was perfect,mọi thứ đều hoàn hảo
Search for the new words within your dictionary.,Tìm kiếm những từ mới trong cuốn từ điển của bạn.
They're almost done.,họ sắp xong rồi
Your oddities could be perceived as either charming or a nuisance.,Những điều kỳ lạ của bạn có thể được nhìn nhận là quyến rũ hoặc gây phiền toái.
You'll be receiving your license in the mail,bạn sẽ nhận được giấy phép của bạn qua thư
I met him just now.,tôi vừa mới gặp anh ấy
For him to say such harsh words to her is truly unkind.,Việc anh ta nói những lời lẽ cay nghiệt như vậy với cô ấy thực sự là không tử tế.
Her life is in peril at this moment.,Mạng sống của cô ấy đang gặp nguy hiểm vào lúc này.
Tom is a teaching assistant.,tom là một trợ giảng
He acknowledged that he was the one who stole the valuable items.,Anh ấy thừa nhận rằng mình là người đã đánh cắp những vật phẩm quý giá.
We don't have any time to waste.,chúng ta không có thời gian để lãng phí
Wealth doesn't just appear magically.,Tiền bạc không tự nhiên mà có.
Tom wasn't very happy when I left,Tom không vui lắm khi tôi rời đi
"You don't know where Tom works, do you?",bạn không biết tom làm việc ở đâu chứ?
At your age you should know better.,"ở tuổi của bạn, bạn nên biết rõ hơn."
The practice of slavery was eradicated by the head of state.,Chế độ nô lệ đã bị người đứng đầu nhà nước xóa bỏ.
That was so amazing.,điều đó thật tuyệt vời
I didn't mean to make Tom cry.,tôi không có ý làm tom khóc.
Tom got muddy playing football,tom bị bùn chơi bóng đá
We found our stay to be most pleasant.,Chúng tôi thấy chuyến ở lại của mình thật dễ chịu.
I told you Tom would be here.,tôi đã nói với bạn tom sẽ ở đây
A ball was kicked by Fred.,Một quả bóng đã bị Fred đá.
I have been a teacher for 15 years.,tôi đã là một giáo viên trong 15 năm.
It's unhealthy to put on too many pounds.,Việc tăng quá nhiều cân là không lành mạnh.
We're doing things the right way.,Chúng ta đang làm mọi thứ đúng cách.
A present was bought by Jack for his friend.,Một món quà đã được Jack mua cho bạn của mình.
The plane took off exactly at six.,Máy bay cất cánh chính xác lúc sáu giờ.
She believed I was a medical professional.,Cô ấy tin rằng tôi là một chuyên gia y tế.
I think I need both of these,tôi nghĩ rằng tôi cần cả hai
I have a pretty good idea why Tom isn't here.,tôi có một ý tưởng khá hay tại sao tom không ở đây.
We came to a place where the road branched into two lanes.,chúng tôi đến một nơi mà con đường rẽ vào hai làn đường.
Was Spot also present?,Spot cũng có mặt sao?
Did Spot participate in the outing?,Spot có tham gia chuyến đi không?
That would not be appropriate,điều đó sẽ không phù hợp
Is there a hospital near here?,Có bệnh viện nào gần đây không?
I learned my trade from Tom.,Tôi đã học nghề từ Tom.
He squashed the insect with the heel of his foot.,Anh ta đè bẹp con côn trùng bằng gót chân.
We're not going to leave Tom here by himself.,chúng tôi sẽ không để tom ở đây một mình.
Tom didn't do well on today's test,Tom đã không làm tốt bài kiểm tra hôm nay
Was it a dream?,nó chỉ là một giấc mơ?
It is easy for a monkey to climb a tree.,thật dễ dàng để một con khỉ leo lên cây.
Would you mind lighting this for me?,Bạn có phiền châm lửa cho tôi không?
"He tried it again, only to fail","anh thử lại lần nữa, chỉ để thất bại"
I think you're not telling me something,tôi nghĩ bạn không nói với tôi điều gì
Our main concern is that some payments for our bills are overdue.,Mối lo ngại chính của chúng tôi là một số khoản thanh toán cho các hóa đơn đã quá hạn.
Tom is desperate,tom đang tuyệt vọng
Peter and Emma are just friends. There's nothing between him and her,peter và emma chỉ là bạn bè không có gì giữa anh ấy và cô ấy
We're creative.,chúng tôi sáng tạo.
This blanket will help keep Tom warm.,cái chăn này sẽ giúp giữ ấm cho tom.
Turn yourself in to the police,quay lại với cảnh sát
Did you make the train?,bạn đã làm tàu chưa
Tom is respectful.,tom là tôn trọng.
I am going to try to get a good tan,tôi sẽ cố gắng để có được một làn da rám nắng
Tom is probably the one who stole Mary's necklace.,Tom có lẽ là người đã đánh cắp vòng cổ của mary.
I think it's wrong to tell a lie.,Tôi nghĩ thật sai lầm khi nói dối.
Tom got a suntan,tom có một người anh em
I'm apprehensive that I failed miserably.,Tôi lo lắng rằng tôi đã thất bại thảm hại.
The bus went over the cliff,xe buýt đi qua vách đá
I believed it wholeheartedly from the start.,Tôi tin tưởng hoàn toàn vào điều đó ngay từ đầu.
How have you been recently?,dạo này bạn thế nào
Parents who beat their children really make my blood boil.,cha mẹ đánh con thực sự làm máu tôi sôi lên.
All people are unique in their own way.,Tất cả mọi người đều độc đáo theo cách riêng của họ.
I'm in need of a blueprint.,Tôi đang cần một bản thiết kế.
I'm dead tired.,tôi chết mê chết mệt
Who told you to bring me here?,ai bảo bạn đưa tôi đến đây?
Kyoto gets lots of visitors from all over the world.,kyoto có rất nhiều du khách từ khắp nơi trên thế giới.
I'm quite fond of the urban area you live in.,Tôi khá yêu thích khu đô thị nơi bạn sống.
I'm feeling dreadful.,Tôi đang cảm thấy kinh khủng.
"Last night, there was a fire in the supermarket.","đêm qua, có một đám cháy trong siêu thị."
I'm willing to risk it.,Tôi sẵn lòng chấp nhận rủi ro.
It's not as hot today as it was yesterday.,hôm nay trời không nóng như hôm qua.
It lacks any excitement.,Nó thiếu bất kỳ sự thú vị nào.
Do you remember what happened?,bạn có nhớ những gì đã xảy ra?
Tom got sunburned,tom bị cháy nắng
You weren't that great,bạn không tuyệt lắm
I'm glad that you understand,tôi rất vui vì bạn hiểu
Tom didn't grasp the extent of Mary's exhaustion.,Tom đã không nhận ra mức độ kiệt sức của Mary.
Mary's pain was shared by Tom.,Nỗi đau của Mary đã được Tom chia sẻ.
Can you tell me where you are?,bạn có thể cho tôi biết bạn đang ở đâu?
Go about it differently if you're not fond of how I do things.,Hãy làm theo cách khác nếu bạn không thích cách tôi làm.
I don't know how this happened again,tôi không biết làm thế nào điều này lại xảy ra
You should go to bed,bạn nên đi ngủ
I crossed the river by boat,tôi qua sông bằng thuyền
It's hard to describe,thật khó để diễn tả
Tom doesn't like talking about sports.,Tom không thích nói về thể thao.
He wants to take over his father's business.,ông muốn tiếp quản công việc của cha mình.
I told you to stay away.,tôi bảo bạn tránh xa
Have you told Tom where you're from?,bạn đã nói với tom bạn đến từ đâu chưa?
I've been waiting half an hour.,Tôi đã đợi nửa tiếng rồi.
You can't see my house from here,bạn không thể thấy nhà tôi từ đây
Why can't Tom stay here?,Tại sao tom không thể ở đây?
I'm here to let you know I won't be present at the meeting this week.,Tôi ở đây để cho bạn biết tôi sẽ không có mặt tại cuộc họp tuần này.
Why are you wearing a sweater?,tại sao bạn mặc áo len
He's totally in love.,Anh ấy hoàn toàn đang yêu.
My ex-boyfriend was brought up in Portugal.,Bạn trai cũ của tôi đã được đưa lên trong bồ đào nha.
Tom is in a state of extreme agitation.,Tom đang trong trạng thái kích động tột độ.
I can buy what I need at a store near my house.,tôi có thể mua những gì tôi cần tại một cửa hàng gần nhà.
This box was made by Tony,cái hộp này được làm bởi tony
I'm writing a song in French.,Tôi đang viết một bài hát bằng tiếng Pháp.
This tea is very nice,trà này rất đẹp
Tom opted not to give his opinion on the topic.,Tom đã chọn không đưa ra ý kiến của mình về chủ đề này.
Tom has difficulty hearing you.,Tom gặp khó khăn trong việc nghe bạn.
I still need your help.,tôi vẫn cần sự giúp đỡ của bạn
Tom had his rent money in the wallet he lost,Tom có tiền thuê trong ví mà anh ta mất
Let them take care of themselves.,hãy để họ tự chăm sóc bản thân
I can't help feeling sorry for Tom,tôi không thể cảm thấy tiếc cho tom
I need some quiet; I'm trying to catch some Z's.,Tôi cần một chút yên tĩnh; tôi đang cố gắng chợp mắt.
I need you to sew these buttons onto the garment.,Tôi cần bạn khâu các nút này vào quần áo.
I'm the guy who met Tom at the station.,Tôi là người gặp tom ở nhà ga.
Tom is a good judge of character,tom là một thẩm phán tốt của nhân vật
It's a quarter till two.,đó là một phần tư cho đến hai.
A doctor is looking after me now.,Bây giờ tôi đang được một bác sĩ chăm sóc.
Playing sports isn't something Tom does well.,Chơi thể thao không phải là điều Tom làm tốt.
We're rational,chúng ta hợp lý
Tom lives on the other side of the valley.,tom sống ở phía bên kia thung lũng.
She seemed to have been ill,cô ấy dường như bị ốm
I'd love for that to be the situation.,Tôi rất muốn đó là tình huống.
It's a classroom that's just too tiny.,Đó là một lớp học quá nhỏ.
I haven't thought of anything yet.,tôi chưa nghĩ gì cả
I have some shopping to do,tôi có một số mua sắm để làm
Thank you very much for your hospitality.,cảm ơn bạn rất nhiều vì sự hiếu khách của bạn
He often gets worked up over little things,anh ấy thường làm việc vì những điều nhỏ nhặt
It was my impression that they weren't going to make it.,Tôi có ấn tượng rằng họ sẽ không đến được.
Tom got embarrassed.,Tom bối rối.
Tom should be in Boston by now.,Bây giờ tom nên ở boston.
It dawned on her that math was where she struggled most.,Cô ấy chợt nhận ra rằng toán học là môn cô gặp khó khăn nhất.
Americans are very friendly people.,Người Mỹ là những người rất thân thiện.
We call our dog Pochi,chúng tôi gọi chó pochi của chúng tôi
We've had trouble with Tom before.,chúng tôi đã gặp rắc rối với tom trước đây.
There's a secret passage.,Có một lối đi bí mật.
The dog defended his master from harm.,Con chó bảo vệ chủ của mình khỏi bị tổn hại.
They must ascertain the expenditure.,Họ phải xác định khoản chi tiêu.
Tom ought to be here by now.,tom nên ở đây bây giờ
I understand that would be difficult.,tôi hiểu điều đó sẽ khó khăn
The insider trading scandal put a lot of people out of business.,vụ bê bối giao dịch nội gián đưa rất nhiều người ra khỏi doanh nghiệp.
I gave my half to Tom.,tôi đã đưa một nửa của mình cho tom.
He gave a detailed description of the accident,ông đã mô tả chi tiết về vụ tai nạn
They are going shopping.,họ đang đi mua sắm
Why did Tom keep it a secret from his wife?,Tại sao Tom lại giấu vợ mình điều đó?
Could you kindly dispatch the last five units immediately?,Bạn vui lòng gửi ngay năm đơn vị cuối cùng được không?
My answer was what she waited for.,Câu trả lời của tôi là điều cô ấy chờ đợi.
He promptly put our names on paper.,Anh ấy kịp thời ghi tên chúng tôi ra giấy.
I refuse to continue this discussion.,Tôi từ chối tiếp tục cuộc thảo luận này.
Will you go over my plan?,bạn sẽ đi qua kế hoạch của tôi?
Let's start with the good news.,Hãy bắt đầu với những tin tốt.
There's no doubt Tom is in a rage.,"Không còn nghi ngờ gì nữa, Tom đang nổi cơn thịnh nộ."
You seem to be feeling cheerful.,Bạn có vẻ đang cảm thấy vui vẻ.
I'm not in a very good mood,tôi không có tâm trạng tốt
They made fun of the newcomer.,Họ đã chế giễu người mới đến.
It is about the size of an egg,nó có kích thước bằng một quả trứng
Tom and Mary are much stronger than we are,tom và mary mạnh hơn chúng ta rất nhiều
My apprenticeship was under Tom.,Tôi đã học nghề với Tom.
I don't belong here.,tôi không thuộc về nơi này
I have no expectation of your understanding.,Tôi không có kỳ vọng bạn sẽ hiểu.
The postman was bitten by that dog.,người đưa thư đã bị con chó đó cắn.
It's highly unlikely that he will succeed.,Rất khó có khả năng anh ấy sẽ thành công.
Feelings of jealousy arose among the other girls.,Cảm giác ghen tị nảy sinh giữa những cô gái khác.
I got into town only a week ago.,tôi đã vào thị trấn chỉ một tuần trước.
I've always wanted to run a small hotel in the mountains.,Tôi đã luôn muốn điều hành một khách sạn nhỏ trên núi.
Tom smiled at them all.,tom mỉm cười với tất cả họ.
I'm not quite sure,tôi không chắc lắm
His mind is sharp and perceptive.,Đầu óc anh ấy sắc bén và nhạy bén.
"To avoid confusion, the teams wore different colors","Để tránh nhầm lẫn, các đội mặc màu sắc khác nhau"
I'm tempted to kiss you at this moment.,Tôi đang muốn hôn bạn ngay lúc này.
I want you to stand up,tôi muốn bạn đứng lên
Who told you about this cave?,ai nói với bạn về hang động này?
I hope you can forgive me.,Tôi mong bạn có thể tha thứ cho tôi.
Is photography permitted in this location?,Có được phép chụp ảnh ở địa điểm này không?
The bus is slow.,xe buýt chậm.
Could you shout to Tom and tell him it's breakfast time?,bạn có thể hét lên với tom và nói với anh ấy là giờ ăn sáng không?
Tom made a U-turn,tom quay đầu
I tried solving the problem,tôi đã cố gắng giải quyết vấn đề
You're unable to just leave this predicament behind.,Bạn không thể nào cứ thế bỏ lại mớ rắc rối này.
I need you to help me here,tôi cần bạn giúp tôi ở đây
Tom is moderately drunk.,Tom đang say vừa phải.
Tom hates it when Mary pretends to understand sports.,tom ghét nó khi mary giả vờ hiểu thể thao.
What's the payment for your efforts here?,Khoản thanh toán cho nỗ lực của bạn ở đây là bao nhiêu?
I don't care what Tom tries to do.,tôi không quan tâm những gì tom cố gắng làm.
Such a thing isn't seen commonly.,Một điều như vậy không được thấy phổ biến.
They had built roads and bridges.,họ đã xây dựng đường và cầu.
I am hoarse from yelling so much.,tôi khàn vì la hét rất nhiều.
Tom picked up the phone,tom nhấc điện thoại
The murderer hid in the mountains.,Kẻ giết người trốn trong núi.
We don't have a problem,chúng tôi không có vấn đề gì
Why is Tom present at that spot?,Tại sao Tom lại có mặt ở địa điểm đó?
Could you make your way to my office briefly?,Bạn có thể đến văn phòng của tôi một lát được không?
There were quite a few passengers on board the ship.,Có khá nhiều hành khách trên tàu.
